GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "40000","Oklahoma",6,CAGDP2,1,"...","All industry total ","Thousands of dollars",97505340,99916874,106175080,114237535,125961440,138352293,146582437,161608962,147332431,155267475,167207918,175361162,184104631,197074111,187364736,182238774,192538613,204193877,205992743,192516203,217786545,245976193,256689388
 "40000","Oklahoma",6,CAGDP2,2,"..."," Private industries ","Thousands of dollars",81568863,82929524,88495781,95704327,105999417,117001817,123731656,137345164,121969314,128851968,140421358,148876720,156827133,169126125,158359255,152883053,162346346,172744323,173398338,158062264,182220102,208321619,217328679
 "40000","Oklahoma",6,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",1470202,1705132,1786982,2485515,2349856,1850431,1893939,2044170,1334787,2095086,2713198,3055454,3050648,3077920,3115607,2477474,2808600,2803838,2573697,1853865,3204413,3808975,4405812
 "40000","Oklahoma",6,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",6006291,5609703,8051114,10614863,15221743,18649696,21630543,29284013,18501973,22052534,26501729,24881229,29157878,34756175,20895703,17361315,23559793,28086866,23828605,12842649,21924711,32627074,25704647
 "40000","Oklahoma",6,CAGDP2,10,"22","  Utilities ","Thousands of dollars",2455629,2229205,2400332,2500608,2510298,2860191,3064740,3276233,3217007,3593574,3885171,4150631,4082528,4498892,4148620,4087235,3935960,3965153,4433657,3971430,4361099,5276086,6030100
 "40000","Oklahoma",6,CAGDP2,11,"23","  Construction ","Thousands of dollars",4105070,4045596,4200836,4461202,4908783,5320699,5436681,5640714,5760301,5993998,6231061,6697212,7056026,7120228,7287720,7168769,7165655,7429688,7936860,8047163,8306754,8870848,9800259
 "40000","Oklahoma",6,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",12418909,11559434,12617324,12635900,13828619,16167054,15890910,18599901,15317570,14277930,16164964,17761080,16860171,17688058,17641437,15416569,16541938,18332246,19129969,16540149,16787403,18822279,20798143
 "40000","Oklahoma",6,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",7993772,7332172,7389185,7710105,8375475,8999571,9509050,10245867,8398014,8401671,9432366,9753841,10264469,10597728,10060236,9336785,9848977,10927765,11204830,9592747,9498080,10856969,12254294
 "40000","Oklahoma",6,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",4425137,4227262,5228139,4925795,5453144,7167482,6381861,8354034,6919556,5876259,6732598,8007239,6595702,7090331,7581201,6079784,6692960,7404482,7925139,6947402,7289323,7965310,8543849
 "40000","Oklahoma",6,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",5165465,5336780,5357304,5897230,6266472,7038422,7461585,7823704,7185124,7588728,8629951,9990175,10386407,10744711,10466694,9712929,9695865,10015010,10503870,10122007,10943401,12394660,13149745
 "40000","Oklahoma",6,CAGDP2,35,"44-45","  Retail trade ","Thousands of dollars",7005920,7165430,7421925,7435996,7893908,8497368,8557263,8588206,8803163,9270232,9554297,10257651,10810096,11090822,11426658,11478338,11583769,12014985,12564968,13765416,15601484,16321214,17760507
 "40000","Oklahoma",6,CAGDP2,36,"48-49","  Transportation and warehousing ","Thousands of dollars",3265905,3137189,3333429,3630777,3901036,4363773,4617290,5009363,4363400,4646011,5568447,7260646,8559895,10452620,11827312,12267608,12720033,12905806,11344090,11502495,12780205,14738184,15628477
 "40000","Oklahoma",6,CAGDP2,45,"51","  Information ","Thousands of dollars",3500179,3797320,3609739,3901915,4323797,4274969,4363487,4450212,4136963,3986715,3870372,3687574,4087093,4241998,4728831,5301550,5774969,6007747,6296153,5701810,5898974,5370903,5697105
 "40000","Oklahoma",6,CAGDP2,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",15014226,15996181,16424467,17256371,18797635,20029778,21610684,21092311,21343076,22294337,23118081,25039713,25458372,26375370,26296880,26994486,26754565,27627236,28751954,29464973,32430485,35392628,38277179
 "40000","Oklahoma",6,CAGDP2,51,"52","   Finance and insurance ","Thousands of dollars",4469597,4917231,5033778,5157409,5626747,5874596,5906077,5184956,5608651,5649328,5828501,6464792,6184248,7177660,7302297,7743993,7669282,7771014,7855007,7762095,8921728,9989072,10367642
 "40000","Oklahoma",6,CAGDP2,56,"53","   Real estate and rental and leasing ","Thousands of dollars",10544628,11078950,11390689,12098962,13170887,14155182,15704607,15907355,15734424,16645009,17289579,18574921,19274124,19197710,18994583,19250493,19085284,19856223,20896947,21702878,23508757,25403557,27909537
 "40000","Oklahoma",6,CAGDP2,59,"54,55,56","  Professional and business services ","Thousands of dollars",7796624,8013597,8511006,9215718,9781044,10618616,11484894,12626967,11895262,12548304,13467956,14400051,14814530,15420548,15714571,15218953,15994489,16942652,18008920,17492040,19367852,21909503,23763805
 "40000","Oklahoma",6,CAGDP2,60,"54","   Professional, scientific, and technical services ","Thousands of dollars",3841847,4096071,4271325,4473477,4805100,5110308,5577206,6128188,5976634,6230467,6633425,7054033,7318310,7570977,7842544,7679079,7931248,8412463,8932888,8433007,9202497,9995226,10991457
 "40000","Oklahoma",6,CAGDP2,64,"55","   Management of companies and enterprises ","Thousands of dollars",949363,915604,1036646,1149953,1108904,1295721,1348927,1538347,1491324,1669306,1998584,1984711,2092841,2157035,2295802,2190069,2273128,2329254,2690546,2892742,3190522,3769585,4002604
 "40000","Oklahoma",6,CAGDP2,65,"56","   Administrative and support and waste management and remediation services ","Thousands of dollars",3005414,3001922,3203034,3592288,3867040,4212587,4558761,4960431,4427303,4648531,4835947,5361307,5403380,5692536,5576225,5349806,5790112,6200936,6385486,6166290,6974833,8144692,8769743
 "40000","Oklahoma",6,CAGDP2,68,"61,62","  Educational services, health care, and social assistance ","Thousands of dollars",6937290,7455478,7888564,8482729,8913871,9501108,9930544,10743272,11488201,11944247,12383007,12869311,13271036,13748299,14427236,14886604,14999511,15354124,16078085,15829161,17286398,18659976,20574375
 "40000","Oklahoma",6,CAGDP2,69,"61","   Educational services ","Thousands of dollars",562638,589338,619794,684880,707729,743699,775457,832774,928998,969729,998864,1047852,1061149,1115093,1078448,1162252,1149754,1206600,1280167,1188524,1412844,1466592,1583801
 "40000","Oklahoma",6,CAGDP2,70,"62","   Health care and social assistance ","Thousands of dollars",6374651,6866141,7268770,7797848,8206142,8757409,9155087,9910499,10559202,10974517,11384143,11821459,12209888,12633206,13348789,13724353,13849757,14147525,14797918,14640636,15873554,17193383,18990574
 "40000","Oklahoma",6,CAGDP2,75,"71,72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of dollars",3615010,3880247,3989281,4192660,4249865,4631201,4539738,4886438,5390636,5247136,5002340,5293698,5590200,6045254,6395527,6468402,6611341,6838761,7382771,6500209,8542275,8766589,10006110
 "40000","Oklahoma",6,CAGDP2,76,"71","   Arts, entertainment, and recreation ","Thousands of dollars",456372,491758,527898,572509,578582,707170,705272,720465,835995,871498,860547,980165,952569,1134149,1123309,1216591,1254873,1323458,1327342,1086103,1349623,1496491,1700145
 "40000","Oklahoma",6,CAGDP2,79,"72","   Accommodation and food services ","Thousands of dollars",3158638,3388489,3461382,3620150,3671283,3924031,3834467,4165973,4554641,4375638,4141793,4313533,4637631,4911105,5272218,5251811,5356468,5515302,6055430,5414106,7192652,7270098,8305965
 "40000","Oklahoma",6,CAGDP2,82,"81","  Other services (except government and government enterprises) ","Thousands of dollars",2812142,2998232,2903479,2992843,3052491,3198511,3249356,3279661,3231854,3313138,3330786,3532296,3642252,3865230,3986461,4042819,4199858,4420210,4564740,4428896,4784646,5362700,5732415
 "40000","Oklahoma",6,CAGDP2,83,"92","Government and government enterprises ","Thousands of dollars",15936477,16987350,17679300,18533208,19962023,21350476,22850781,24263798,25363116,26415507,26786559,26484442,27277498,27947986,29005481,29355721,30192268,31449554,32594406,34453939,35566443,37654574,39360708
